Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
vention_frame_link,-0.010601,-0.00045451,0.36607,0,0,0,10.365,0.081835,2.5868E-05,-2.1017E-05,0.17523,6.3406E-06,0.19702,0,0,0,0,0,0,package://vention_frame/meshes/vention_frame_link.STL,0.33725,0.52941,0.75686,1,0,0,0,0,0,0,package://vention_frame/meshes/vention_frame_link.STL,,VentionAssembly_12773_v36.STEP-1/ST-HP-001-0001.STEP-4;VentionAssembly_12773_v36.STEP-1/ST-HP-003-0001.STEP-8;VentionAssembly_12773_v36.STEP-1/ST-HP-001-0001.STEP-3;VentionAssembly_12773_v36.STEP-1/ST-HP-001-0001.STEP-2;VentionAssembly_12773_v36.STEP-1/ST-HP-003-0001.STEP-4;VentionAssembly_12773_v36.STEP-1/ST-RB-002-0001__2.STEP-1;VentionAssembly_12773_v36.STEP-1/ST-HP-003-0001.STEP-2;VentionAssembly_12773_v36.STEP-1/ST-HP-003-0001.STEP-1;VentionAssembly_12773_v36.STEP-1/ST-EXT-001-0675.STEP-4;VentionAssembly_12773_v36.STEP-1/ST-EXT-001-0675.STEP-3;VentionAssembly_12773_v36.STEP-1/ST-RB-009-0001.STEP-4;VentionAssembly_12773_v36.STEP-1/ST-RB-009-0001.STEP-2;VentionAssembly_12773_v36.STEP-1/ST-GP-001-0004.STEP-2;VentionAssembly_12773_v36.STEP-1/ST-EXT-002-0450.STEP-1;VentionAssembly_12773_v36.STEP-1/ST-GP-001-0013.STEP-3;VentionAssembly_12773_v36.STEP-1/ST-GP-001-0013.STEP-2;VentionAssembly_12773_v36.STEP-1/ST-GP-001-0004.STEP-1;VentionAssembly_12773_v36.STEP-1/ST-GP-001-0004.STEP-4;VentionAssembly_12773_v36.STEP-1/ST-EXT-002-0450.STEP-2;VentionAssembly_12773_v36.STEP-1/ST-GP-001-0004.STEP-3;VentionAssembly_12773_v36.STEP-1/ST-RB-009-0001.STEP-3;VentionAssembly_12773_v36.STEP-1/ST-GP-001-0013.STEP-1;VentionAssembly_12773_v36.STEP-1/ST-HP-003-0001.STEP-5;VentionAssembly_12773_v36.STEP-1/imported-PANEL-0EDC4777FD8A_255818.STEP-1;VentionAssembly_12773_v36.STEP-1/ST-HP-003-0001.STEP-6;VentionAssembly_12773_v36.STEP-1/ST-RB-009-0001.STEP-1;VentionAssembly_12773_v36.STEP-1/ST-HP-003-0001.STEP-7;VentionAssembly_12773_v36.STEP-1/ST-HP-001-0001.STEP-1;VentionAssembly_12773_v36.STEP-1/ST-EXT-002-0675.STEP-1;VentionAssembly_12773_v36.STEP-1/ST-HP-003-0001.STEP-3;VentionAssembly_12773_v36.STEP-1/ST-GP-001-0013.STEP-4;VentionAssembly_12773_v36.STEP-1/ST-GP-001-0009.STEP-7;VentionAssembly_12773_v36.STEP-1/ST-GP-001-0009.STEP-6;VentionAssembly_12773_v36.STEP-1/ST-GP-001-0009.STEP-3;VentionAssembly_12773_v36.STEP-1/ST-EXT-001-0450.STEP-5;VentionAssembly_12773_v36.STEP-1/ST-EXT-001-0450.STEP-4;VentionAssembly_12773_v36.STEP-1/ST-GP-001-0009.STEP-2;VentionAssembly_12773_v36.STEP-1/ST-GP-001-0009.STEP-1;VentionAssembly_12773_v36.STEP-1/ST-EXT-001-0450.STEP-6;VentionAssembly_12773_v36.STEP-1/ST-GP-002-0004.STEP-1;VentionAssembly_12773_v36.STEP-1/0-9.STEP-1;VentionAssembly_12773_v36.STEP-1/0-6.STEP-1;VentionAssembly_12773_v36.STEP-1/0-4.STEP-1;VentionAssembly_12773_v36.STEP-1/0-5.STEP-1;VentionAssembly_12773_v36.STEP-1/ST-EXT-001-0450.STEP-2;VentionAssembly_12773_v36.STEP-1/0-8.STEP-1;VentionAssembly_12773_v36.STEP-1/0-7.STEP-1;VentionAssembly_12773_v36.STEP-1/ST-EXT-001-0675.STEP-2;VentionAssembly_12773_v36.STEP-1/ST-EXT-001-0675.STEP-1;VentionAssembly_12773_v36.STEP-1/0-2.STEP-1/0-3.STEP-1/imported-UR_CONTROLLER_ESERIES_43308-0-0.STEP-1;VentionAssembly_12773_v36.STEP-1/0-2.STEP-1/0-3.STEP-1/imported-UR_CONTROLLER_ESERIES_43308-0-1.STEP-1;VentionAssembly_12773_v36.STEP-1/0-1.STEP-1;VentionAssembly_12773_v36.STEP-1/ST-GP-001-0009.STEP-8;VentionAssembly_12773_v36.STEP-1/ST-GP-001-0009.STEP-5;VentionAssembly_12773_v36.STEP-1/ST-GP-001-0009.STEP-4;VentionAssembly_12773_v36.STEP-1/ST-EXT-002-0045.STEP-1;VentionAssembly_12773_v36.STEP-1/ST-EXT-001-0360.STEP-1;VentionAssembly_12773_v36.STEP-1/ST-EXT-001-0450.STEP-1;VentionAssembly_12773_v36.STEP-1/HW-EC-002-0001__2.STEP-1;VentionAssembly_12773_v36.STEP-1/0.STEP-1;VentionAssembly_12773_v36.STEP-1/ST-EXT-001-0450.STEP-3,Coordinate System2,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
ur5e_mounting_link,2.8706E-09,7.0506E-06,-0.014753,0,0,0,0.58175,0.0024808,-8.6965E-11,2.6266E-12,0.0024738,9.7078E-08,0.0049196,0,0,0,0,0,0,package://vention_frame/meshes/ur5e_mounting_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://vention_frame/meshes/ur5e_mounting_link.STL,,VentionAssembly_12773_v36.STEP-1/ST-RB-001-0003.STEP-1,Coordinate System1,,ur5e_mounting_joint,fixed,0.27,0,0.6075,0,0,0,vention_frame_link,0,0,0,,,,,,,,,,,,
